membership_type,bike_type,month,week_day,hour_of_day,cumulative_durations,average_duration,total_rides
casual,classic_bike,9,Friday,00,10139.1,22.4,452
casual,classic_bike,9,Friday,01,5468.5,22.1,247
casual,classic_bike,9,Friday,02,2330.4,17.0,137
casual,classic_bike,9,Friday,03,974.2,16.5,59
casual,classic_bike,9,Friday,04,2012.1,49.1,41
casual,classic_bike,9,Friday,05,1842.0,17.2,107
casual,classic_bike,9,Friday,06,7539.5,23.1,326
casual,classic_bike,9,Friday,07,10054.3,19.5,515
casual,classic_bike,9,Friday,08,13431.4,19.4,691
casual,classic_bike,9,Friday,09,17928.3,24.8,722
casual,classic_bike,9,Friday,10,25539.5,29.9,853
casual,classic_bike,9,Friday,11,35047.3,28.8,1219
casual,classic_bike,9,Friday,12,37286.3,24.4,1526
casual,classic_bike,9,Friday,13,41265.6,26.8,1541
casual,classic_bike,9,Friday,14,35700.2,24.4,1465
casual,classic_bike,9,Friday,15,43265.9,24.7,1753
casual,classic_bike,9,Friday,16,54479.0,22.9,2379
casual,classic_bike,9,Friday,17,67042.2,22.6,2967
casual,classic_bike,9,Friday,18,60848.9,22.0,2760
casual,classic_bike,9,Friday,19,35862.2,20.3,1769
casual,classic_bike,9,Friday,20,21054.6,18.5,1136
casual,classic_bike,9,Friday,21,24585.4,20.9,1174
casual,classic_bike,9,Friday,22,29534.2,22.6,1305
casual,classic_bike,9,Friday,23,21486.8,20.0,1073
casual,classic_bike,9,Monday,00,9716.2,24.2,402
casual,classic_bike,9,Monday,01,5196.1,22.2,234
casual,classic_bike,9,Monday,02,4446.5,27.3,163
casual,classic_bike,9,Monday,03,3573.7,27.1,132
casual,classic_bike,9,Monday,04,3179.7,25.2,126
casual,classic_bike,9,Monday,05,1609.2,14.4,112
casual,classic_bike,9,Monday,06,4597.0,19.4,237
casual,classic_bike,9,Monday,07,6335.7,15.2,416
casual,classic_bike,9,Monday,08,12182.1,22.6,538
casual,classic_bike,9,Monday,09,19879.4,28.2,705
casual,classic_bike,9,Monday,10,26720.8,29.7,900
casual,classic_bike,9,Monday,11,36461.2,29.9,1219
casual,classic_bike,9,Monday,12,48907.6,30.4,1610
casual,classic_bike,9,Monday,13,51807.2,32.6,1590
casual,classic_bike,9,Monday,14,48093.9,30.4,1581
casual,classic_bike,9,Monday,15,53523.3,30.8,1737
casual,classic_bike,9,Monday,16,51034.5,25.6,1991
casual,classic_bike,9,Monday,17,62985.1,25.7,2448
casual,classic_bike,9,Monday,18,49181.7,22.5,2188
casual,classic_bike,9,Monday,19,31099.8,21.5,1447
casual,classic_bike,9,Monday,20,19215.6,21.3,901
casual,classic_bike,9,Monday,21,14030.4,21.9,640
casual,classic_bike,9,Monday,22,9871.0,18.9,523
casual,classic_bike,9,Monday,23,5839.9,21.3,274
casual,classic_bike,9,Saturday,00,20991.5,21.3,984
casual,classic_bike,9,Saturday,01,17273.3,20.1,861
casual,classic_bike,9,Saturday,02,8022.5,18.1,444
casual,classic_bike,9,Saturday,03,4146.5,19.2,216
casual,classic_bike,9,Saturday,04,2328.9,21.8,107
casual,classic_bike,9,Saturday,05,1637.1,17.6,93
casual,classic_bike,9,Saturday,06,4642.3,24.3,191
casual,classic_bike,9,Saturday,07,8638.5,22.4,385
casual,classic_bike,9,Saturday,08,22848.6,26.4,867
casual,classic_bike,9,Saturday,09,41660.1,27.9,1491
casual,classic_bike,9,Saturday,10,60942.5,28.0,2176
casual,classic_bike,9,Saturday,11,78444.7,28.5,2749
casual,classic_bike,9,Saturday,12,92372.4,29.7,3114
